date,shipping_id,status,ship_service_level,estimated_delivery_date,fulfilled_by,update_date
2019-01-01,10001,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10002,Delivered to buyer,Standard,2019-01-08,Prozo,
2019-01-01,10003,Cancelled,Standard,,,
2019-01-01,10004,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10005,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10006,Cancelled,Standard,,,
2019-01-01,10007,Delivered to buyer,Standard,2019-01-07,DHL,
2019-01-01,10008,Delivered to buyer,Standard,2019-01-08,Prozo,
2019-01-01,10009,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10010,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10011,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10012,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10013,Delivered to buyer,Standard,2019-01-08,Quickshift Fulfillment,
2019-01-01,10014,Delivered to buyer,Standard,2019-01-08,,
2019-01-01,10015,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10016,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10017,Delivered to buyer,Standard,2019-01-07,,
2019-01-01,10018,Delivered to buyer,Standard,2019-01-06,,
2019-01-01,10019,Delivered to buyer,Standard,2019-01-06,Easy Ship,
2019-01-01,10020,Packed,Standard,2019-01-07,,
2019-01-01,10021,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10022,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10023,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10024,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10025,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10026,Delivered to buyer,Standard,2019-01-06,Easy Ship,
2019-01-01,10027,Delivered to buyer,Standard,2019-01-06,Quickshift Fulfillment,
2019-01-01,10028,Cancelled,Expedited,,,
2019-01-01,10029,Returned,Expedited,2019-01-05,,
2019-01-01,10030,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10031,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10032,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10033,Delivered to buyer,Standard,2019-01-06,,
2019-01-01,10034,Delivered to buyer,Standard,2019-01-06,Shiprocket Fulfillment,
2019-01-01,10035,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10036,Returned,Expedited,2019-01-04,,
2019-01-01,10037,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10038,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10039,Cancelled,Standard,,Easy Ship,
2019-01-01,10040,Delivered to buyer,Standard,2019-01-09,,
2019-01-01,10041,Delivered to buyer,Standard,2019-01-06,,
2019-01-01,10042,Cancelled,Expedited,,,
2019-01-01,10043,Delivered to buyer,Standard,2019-01-07,,
2019-01-01,10044,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10045,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10046,Cancelled,Expedited,,,
2019-01-01,10047,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10048,Delivered to buyer,Standard,2019-01-06,Shiprocket Fulfillment,
2019-01-01,10049,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10050,At logistics facility,Expedited,2019-01-05,,
2019-01-01,10051,Delivered to buyer,Standard,2019-01-07,,
2019-01-01,10052,Delivered to buyer,Standard,2019-01-06,,
2019-01-01,10053,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10054,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10055,Cancelled,Expedited,,,
2019-01-01,10056,Returned,Standard,2019-01-08,,
2019-01-01,10057,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10058,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10059,Delivered to buyer,Standard,2019-01-09,Quickshift Fulfillment,
2019-01-01,10060,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10061,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10062,Delivered to buyer,Standard,2019-01-06,,
2019-01-01,10063,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10064,Cancelled,Standard,,Easy Ship,
2019-01-01,10065,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10066,Delivered to buyer,Standard,2019-01-08,,
2019-01-01,10067,Delivered to buyer,Standard,2019-01-09,Easy Ship,
2019-01-01,10068,Cancelled,Standard,,Quickshift Fulfillment,
2019-01-01,10069,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10070,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10071,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10072,Delivered to buyer,Expedited,2019-01-04,,
2019-01-01,10073,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10074,Delivered to buyer,Standard,2019-01-08,Prozo,
2019-01-01,10075,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10076,Delivered to buyer,Expedited,2019-01-05,,
2019-01-01,10077,Delivered to buyer,Standard,2019-01-07,DHL,
2019-01-01,10078,Delivered to buyer,Expedited,2019-01-03,,
2019-01-01,10079,Delivered to buyer,Expedited,2019-01-04,,
