month,sales,category,actual_price,product_id,product_name,base_cat,PED
January,89.76355868138012,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,11.64,B0085W2MUQ,Orpat HHB-100E 250-Watt Hand Blender (White),Home&Kitchen,-0.1646640054220295
February,75.00699605224133,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,11.64,B0085W2MUQ,Orpat HHB-100E 250-Watt Hand Blender (White),Home&Kitchen,-0.1646640054220295
March,96.98444210035744,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,11.64,B0085W2MUQ,Orpat HHB-100E 250-Watt Hand Blender (White),Home&Kitchen,-0.1646640054220295
January,91.69524403550496,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,7.19,B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers&Accessories,-1.0
February,66.02763394485427,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,7.19,B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers&Accessories,-1.0
March,47.99854428962892,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,7.19,B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers&Accessories,-1.0
January,155.08609491495463,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,5.99,B00C3GBCIS,GIZGA Club-laptop Neoprene Reversible for 15.6-inches Laptop Sleeve - Black-Red,Computers&Accessories,-0.0434813774562866
February,99.40523319361104,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,5.99,B00C3GBCIS,GIZGA Club-laptop Neoprene Reversible for 15.6-inches Laptop Sleeve - Black-Red,Computers&Accessories,-0.0434813774562866
March,104.60095148798536,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,5.99,B00C3GBCIS,GIZGA Club-laptop Neoprene Reversible for 15.6-inches Laptop Sleeve - Black-Red,Computers&Accessories,-0.0434813774562866
January,76.65649958681163,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",22.68,B00J5DYCCA,Havells Ventil Air DSP 230mm Exhaust Fan (Pista Green),Home&Kitchen,0.4094965422996968
February,61.12491504135295,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",22.68,B00J5DYCCA,Havells Ventil Air DSP 230mm Exhaust Fan (Pista Green),Home&Kitchen,0.4094965422996968
March,46.30042042064985,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",22.68,B00J5DYCCA,Havells Ventil Air DSP 230mm Exhaust Fan (Pista Green),Home&Kitchen,0.4094965422996968
January,119.49123593158676,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",28.32,B00KIDSU8S,Havells Ventil Air DX 200mm Exhaust Fan (White),Home&Kitchen,0.4094965422996968
February,82.83846510949543,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",28.32,B00KIDSU8S,Havells Ventil Air DX 200mm Exhaust Fan (White),Home&Kitchen,0.4094965422996968
March,80.81673321839173,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",28.32,B00KIDSU8S,Havells Ventil Air DX 200mm Exhaust Fan (White),Home&Kitchen,0.4094965422996968
January,87.73775737521086,Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,3.72,B00KIE28X0,"Camel Artist Acrylic Color Box - 9ml Tubes, 12 Shades",Home&Kitchen,0.0827178889940089
February,68.50760729068614,Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,3.72,B00KIE28X0,"Camel Artist Acrylic Color Box - 9ml Tubes, 12 Shades",Home&Kitchen,0.0827178889940089
March,52.92505787684879,Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,3.72,B00KIE28X0,"Camel Artist Acrylic Color Box - 9ml Tubes, 12 Shades",Home&Kitchen,0.0827178889940089
